,service_name,summary,date,status,details,description,service,datetime,simple_service_name,region_name,start_time,end_time,pattern_for_debug,timezone,failure_time,year,month,day,iso_date,problem,report
14,Amazon Elastic Compute Cloud (N. Virginia),[RESOLVED] Instance Connectivity Issues,1527804823,1,,"<div><span class=""yellowfg""> 3:13 PM PDT</span>&nbsp;We are investigating connectivity issues affecting some instances in a single Availability Zone in the US-EAST-1 Region.
</div><div><span class=""yellowfg""> 3:42 PM PDT</span>&nbsp;We can confirm that there has been an issue in one of the datacenters that makes up one of US-EAST-1 Availability Zones. This was a result of a power event impacting a small percentage of the physical servers in that datacenter as well as some of the networking devices. Customers with EC2 instances in this availability zone may see issues with connectivity to the affected instances. We are seeing recovery and continue to work toward full resolution.</div><div><span class=""yellowfg""> 4:29 PM PDT</span>&nbsp;We have restored power to the vast majority of the affected instances and continue to work towards full recovery.</div><div><span class=""yellowfg""> 5:36 PM PDT</span>&nbsp;﻿﻿Beginning at 2:52 PM PDT a small percentage of EC2 servers lost power in a single Availability Zone in the US-EAST-1 Region. This resulted in some impaired EC2 instances and degraded performance for some EBS volumes in the affected Availability Zone. Power was restored at 3:22 PM PDT, at which point the vast majority of instances and volumes saw recovery. We have been working to recover the remaining instances and volumes. The small number of remaining instances and volumes are hosted on hardware which was adversely affected by the loss of power. While we will continue to work to recover all affected instances and volumes, for immediate recovery, we recommend replacing any remaining affected instances or volumes if possible.</div>",ec2-us-east-1,2018-05-31 22:13:43,Elastic Compute Cloud,N. Virginia,2:52 PM,3:22 PM,6,PDT,30.0,2018,5,31,2018-05-31,instance connectivity issues," 3:13 PM PDT -  We are investigating connectivity issues affecting some instances in a single Availability Zone in the US-EAST-1 Region.
 3:42 PM PDT -  We can confirm that there has been an issue in one of the datacenters that makes up one of US-EAST-1 Availability Zones. This was a result of a power event impacting a small percentage of the physical servers in that datacenter as well as some of the networking devices. Customers with EC2 instances in this availability zone may see issues with connectivity to the affected instances. We are seeing recovery and continue to work toward full resolution.
 4:29 PM PDT -  We have restored power to the vast majority of the affected instances and continue to work towards full recovery.
 5:36 PM PDT -  ﻿﻿Beginning at 2:52 PM PDT a small percentage of EC2 servers lost power in a single Availability Zone in the US-EAST-1 Region. This resulted in some impaired EC2 instances and degraded performance for some EBS volumes in the affected Availability Zone. Power was restored at 3:22 PM PDT, at which point the vast majority of instances and volumes saw recovery. We have been working to recover the remaining instances and volumes. The small number of remaining instances and volumes are hosted on hardware which was adversely affected by the loss of power. While we will continue to work to recover all affected instances and volumes, for immediate recovery, we recommend replacing any remaining affected instances or volumes if possible."
15,Amazon Redshift (N. Virginia),[RESOLVED] Connectivity Issues,1527806609,1,,"<div><span class=""yellowfg""> 3:43 PM PDT</span>&nbsp;We are investigating connectivity issues affecting some Redshift clusters in a single Availability Zone in the US-EAST-1 Region.</div><div><span class=""yellowfg""> 4:07 PM PDT</span>&nbsp;Between 2:52 PM and 3:55 PM PDT we experienced connectivity issues affecting some clusters in a single Availability Zone in the US-EAST-1 Region. The issue has been resolved and the service is operating normally. </div>",redshift-us-east-1,2018-05-31 22:43:29,Redshift,N. Virginia,2:52 PM,3:55 PM,2,PDT,63.0,2018,5,31,2018-05-31,connectivity issues," 3:43 PM PDT -  We are investigating connectivity issues affecting some Redshift clusters in a single Availability Zone in the US-EAST-1 Region.
 4:07 PM PDT -  Between 2:52 PM and 3:55 PM PDT we experienced connectivity issues affecting some clusters in a single Availability Zone in the US-EAST-1 Region. The issue has been resolved and the service is operating normally. "
16,Amazon WorkSpaces (N. Virginia),[RESOLVED] Connectivity Issues,1527806975,1,,"<div><span class=""yellowfg""> 3:49 PM PDT</span>&nbsp;We are investigating elevated error rates for connections to some WorkSpaces in a single Availability Zone in the US-EAST-1 Region.
</div><div><span class=""yellowfg""> 4:18 PM PDT</span>&nbsp;Between 2:52 PM and 4:15 PM PDT we experienced increased error rates for connections to some WorkSpaces in a single Availability Zone in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.</div>",workspaces-us-east-1,2018-05-31 22:49:35,WorkSpaces,N. Virginia,2:52 PM,4:15 PM,2,PDT,83.0,2018,5,31,2018-05-31,connectivity issues," 3:49 PM PDT -  We are investigating elevated error rates for connections to some WorkSpaces in a single Availability Zone in the US-EAST-1 Region.
 4:18 PM PDT -  Between 2:52 PM and 4:15 PM PDT we experienced increased error rates for connections to some WorkSpaces in a single Availability Zone in the US-EAST-1 Region. The issue has been resolved and the service is operating normally."
17,Amazon Relational Database Service (N. Virginia),[RESOLVED] Connectivity Issues,1527807509,1,,"<div><span class=""yellowfg""> 3:58 PM PDT</span>&nbsp;We are investigating connectivity issues affecting some database instances in a single Availability Zone in the US-EAST-1 Region.</div><div><span class=""yellowfg""> 4:12 PM PDT</span>&nbsp;Beginning at 2:52 PM PDT, we experienced connectivity issues affecting some database instances in a single Availability Zone in the US-EAST-1 Region. Multi-AZ database instances functioned correctly and remain available. A small number of Single-AZ database instances remain unavailable and we are working to resolve the issue.</div><div><span class=""yellowfg""> 5:42 PM PDT</span>&nbsp;Beginning at 2:52 PM PDT, we experienced connectivity issues affecting some database instances in a single Availability Zone in the US-EAST-1 Region. Multi-AZ database instances functioned correctly and remained available. Connectivity was restored at 3:22 PM PDT, at which point the vast majority of database instances recovered. A small number of Single-AZ database instances remain unavailable and we are continuing to work to recover all affected database instances.</div>",rds-us-east-1,2018-05-31 22:58:29,Relational Database Service,N. Virginia,2:52 PM,3:22 PM,6,PDT,30.0,2018,5,31,2018-05-31,connectivity issues," 3:58 PM PDT -  We are investigating connectivity issues affecting some database instances in a single Availability Zone in the US-EAST-1 Region.
 4:12 PM PDT -  Beginning at 2:52 PM PDT, we experienced connectivity issues affecting some database instances in a single Availability Zone in the US-EAST-1 Region. Multi-AZ database instances functioned correctly and remain available. A small number of Single-AZ database instances remain unavailable and we are working to resolve the issue.
 5:42 PM PDT -  Beginning at 2:52 PM PDT, we experienced connectivity issues affecting some database instances in a single Availability Zone in the US-EAST-1 Region. Multi-AZ database instances functioned correctly and remained available. Connectivity was restored at 3:22 PM PDT, at which point the vast majority of database instances recovered. A small number of Single-AZ database instances remain unavailable and we are continuing to work to recover all affected database instances."
18,Amazon Route 53,[RESOLVED] Increased Propagation Time,1528291058,1,,"<div><span class=""yellowfg""> 6:17 AM PDT</span>&nbsp;We are investigating increased propagation times of DNS edits to the Route 53 DNS servers. This does not impact queries to existing DNS records.</div><div><span class=""yellowfg""> 6:47 AM PDT</span>&nbsp;Between 5:42 AM and 6:45 AM PDT, we experienced increased propagation times of DNS edits to the Route 53 DNS servers. This did not impact queries to existing DNS records. The issue has been resolved and the service is operating normally.</div>",route53,2018-06-06 13:17:38,Route 53,Global,5:42 AM,6:45 AM,2,PDT,63.0,2018,6,6,2018-06-06,increased propagation time," 6:17 AM PDT -  We are investigating increased propagation times of DNS edits to the Route 53 DNS servers. This does not impact queries to existing DNS records.
 6:47 AM PDT -  Between 5:42 AM and 6:45 AM PDT, we experienced increased propagation times of DNS edits to the Route 53 DNS servers. This did not impact queries to existing DNS records. The issue has been resolved and the service is operating normally."
19,Auto Scaling (N. Virginia),[RESOLVED] Increased API Error Rates,1528330928,1,,"<div><span class=""yellowfg""> 5:22 PM PDT</span>&nbsp;We are investigating increased error rates for API calls in the US-EAST-1 Region.</div><div><span class=""yellowfg""> 5:33 PM PDT</span>&nbsp;Between 5:05 PM and 5:26 PM PDT we experienced increased error rates for API calls in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.</div>",autoscaling-us-east-1,2018-06-07 00:22:08,Auto Scaling,N. Virginia,5:05 PM,5:26 PM,2,PDT,21.0,2018,6,7,2018-06-07,increased api error rates," 5:22 PM PDT -  We are investigating increased error rates for API calls in the US-EAST-1 Region.
 5:33 PM PDT -  Between 5:05 PM and 5:26 PM PDT we experienced increased error rates for API calls in the US-EAST-1 Region. The issue has been resolved and the service is operating normally."
20,Amazon CloudFront,[RESOLVED] Delays in propagating certain configuration changes to a few CloudFront Edge locations ,1528895774,1,,"<div><span class=""yellowfg""> 6:16 AM PDT</span>&nbsp;We are investigating longer than usual propagation times to propagate certain configuration changes to a few of our edge locations: the creation and deletion of CloudFront distributions and the updating of certificates for a CloudFront distribution. All other CloudFront configuration changes are propagating normally. End-user requests for content from our edge locations are not affected by this issue and are being served normally. </div><div><span class=""yellowfg""> 6:59 AM PDT</span>&nbsp;Between 3:25 AM and 6:45 AM PDT, CloudFront experienced longer than usual propagation times to propagate certain configuration changes to a few of our edge locations. This issue has been resolved and the service is operating normally. During this time, end user requests for content from our edge locations were not affected by this issue and were being served normally.</div>",cloudfront,2018-06-13 13:16:14,CloudFront,Global,3:25 AM,6:45 AM,2,PDT,200.0,2018,6,13,2018-06-13,delays in propagating certain configuration changes to a few cloudfront edge locations," 6:16 AM PDT -  We are investigating longer than usual propagation times to propagate certain configuration changes to a few of our edge locations: the creation and deletion of CloudFront distributions and the updating of certificates for a CloudFront distribution. All other CloudFront configuration changes are propagating normally. End-user requests for content from our edge locations are not affected by this issue and are being served normally. 
 6:59 AM PDT -  Between 3:25 AM and 6:45 AM PDT, CloudFront experienced longer than usual propagation times to propagate certain configuration changes to a few of our edge locations. This issue has been resolved and the service is operating normally. During this time, end user requests for content from our edge locations were not affected by this issue and were being served normally."
21,Amazon Elastic Load Balancing (N. Virginia),[RESOLVED] Increased API Error Rates ,1528907930,1,,"<div><span class=""yellowfg""> 9:39 AM PDT</span>&nbsp;We are investigating increased error rates and latencies for ELB APIs in the US-EAST-1 Region. Traffic to existing load balancers is not affected.</div><div><span class=""yellowfg"">10:11 AM PDT</span>&nbsp;Between 8:59 AM and 9:58 AM PDT we experienced increased error rates and latencies for the ELB APIs in the US-EAST-1 Region. The issue affected load balancer provisioning and target registration for Application and Network Load Balancer. Classic Load Balancer, as well as traffic to all existing load balancers, was not affected. The issue has been resolved and the service is operating normally. </div>",elb-us-east-1,2018-06-13 16:38:50,Elastic Load Balancing,N. Virginia,8:59 AM,9:58 AM,2,PDT,59.0,2018,6,13,2018-06-13,increased api error rates," 9:39 AM PDT -  We are investigating increased error rates and latencies for ELB APIs in the US-EAST-1 Region. Traffic to existing load balancers is not affected.
10:11 AM PDT -  Between 8:59 AM and 9:58 AM PDT we experienced increased error rates and latencies for the ELB APIs in the US-EAST-1 Region. The issue affected load balancer provisioning and target registration for Application and Network Load Balancer. Classic Load Balancer, as well as traffic to all existing load balancers, was not affected. The issue has been resolved and the service is operating normally. "
22,AWS CodeDeploy (N. Virginia),[RESOLVED] Elevated API Error Rates,1529347567,1,,"<div><span class=""yellowfg"">11:46 AM PDT</span>&nbsp;We are investigating elevated error rates for APIs in the US-EAST-1 Region.</div><div><span class=""yellowfg"">12:31 PM PDT</span>&nbsp;Between 11:11 AM and 12:00 PM PDT we experienced elevated error rates for APIs in the US-EAST-1 Region. The issue has been resolved and the service is operating normally. </div>",codedeploy-us-east-1,2018-06-18 18:46:07,CodeDeploy,N. Virginia,11:11 AM,12:00 PM,2,PDT,49.0,2018,6,18,2018-06-18,elevated api error rates,"11:46 AM PDT -  We are investigating elevated error rates for APIs in the US-EAST-1 Region.
12:31 PM PDT -  Between 11:11 AM and 12:00 PM PDT we experienced elevated error rates for APIs in the US-EAST-1 Region. The issue has been resolved and the service is operating normally. "
23,AWS Cloud9 (N. Virginia),[RESOLVED] Increased API Error Rates,1529609394,1,,"<div><span class=""yellowfg"">12:30 PM PDT</span>&nbsp;Between 11:01 AM and 11:20 AM PDT we experienced increased error rates in creating and accessing Cloud9 environments in the US-EAST-1 Region. The issue has been resolved and the service is operating normally. </div>",cloud9-us-east-1,2018-06-21 19:29:54,Cloud9,N. Virginia,11:01 AM,11:20 AM,2,PDT,19.0,2018,6,21,2018-06-21,increased api error rates,12:30 PM PDT -  Between 11:01 AM and 11:20 AM PDT we experienced increased error rates in creating and accessing Cloud9 environments in the US-EAST-1 Region. The issue has been resolved and the service is operating normally. 
24,AWS Identity and Access Management,[RESOLVED] Increased Error Rates and Latencies,1529622992,1,,"<div><span class=""yellowfg""> 4:16 PM PDT</span>&nbsp;We are investigating increased error rates and latencies for the IAM APIs.</div><div><span class=""yellowfg""> 4:24 PM PDT</span>&nbsp;Between 3:38 PM and 4:11 PM PDT we experienced increased IAM API error rates and latencies. The issue has been resolved and the service is operating normally.</div>",iam,2018-06-21 23:16:32,Identity and Access Management,Global,3:38 PM,4:11 PM,2,PDT,33.0,2018,6,21,2018-06-21,increased error rates and latencies," 4:16 PM PDT -  We are investigating increased error rates and latencies for the IAM APIs.
 4:24 PM PDT -  Between 3:38 PM and 4:11 PM PDT we experienced increased IAM API error rates and latencies. The issue has been resolved and the service is operating normally."
25,Amazon Elastic File System (N. Virginia),[RESOLVED] Increased API Error Rates,1530065273,1,,"<div><span class=""yellowfg""> 7:08 PM PDT</span>&nbsp;Between 5:14 PM and 6:09 PM PDT, we experienced increased error rates for API requests in the US-EAST-1 Region. The issue has been resolved and the service is now operating normally.</div>",elasticfilesystem-us-east-1,2018-06-27 02:07:53,Elastic File System,N. Virginia,5:14 PM,6:09 PM,2,PDT,55.0,2018,6,27,2018-06-27,increased api error rates," 7:08 PM PDT -  Between 5:14 PM and 6:09 PM PDT, we experienced increased error rates for API requests in the US-EAST-1 Region. The issue has been resolved and the service is now operating normally."
26,AWS IoT Core (N. Virginia),[RESOLVED] Increased Error Rates,1530296421,1,,"<div><span class=""yellowfg"">11:20 AM PDT</span>&nbsp;We are investigating increased error rates for connections to AWS IoT Core, affecting some customers in the US-EAST-1 Region. </div><div><span class=""yellowfg"">11:38 AM PDT</span>&nbsp;We continue to investigate increased error rates for connections to AWS IoT Core, affecting some customers in the US-EAST-1 Region. </div><div><span class=""yellowfg"">12:02 PM PDT</span>&nbsp;Error rates for connections to AWS IoT Core in the US-EAST-1 Region are improving. We continue to work towards full resolution. </div><div><span class=""yellowfg"">12:44 PM PDT</span>&nbsp;Between 9:26 AM and 11:56 AM PDT we experienced intermittent elevated error rates for connections to AWS IoT Core in the US-EAST-1 Region. The issue has been resolved and the service is operating normally. </div>",awsiot-us-east-1,2018-06-29 18:20:21,IoT Core,N. Virginia,9:26 AM,11:56 AM,2,PDT,150.0,2018,6,29,2018-06-29,increased error rates,"11:20 AM PDT -  We are investigating increased error rates for connections to AWS IoT Core, affecting some customers in the US-EAST-1 Region. 
11:38 AM PDT -  We continue to investigate increased error rates for connections to AWS IoT Core, affecting some customers in the US-EAST-1 Region. 
12:02 PM PDT -  Error rates for connections to AWS IoT Core in the US-EAST-1 Region are improving. We continue to work towards full resolution. 
12:44 PM PDT -  Between 9:26 AM and 11:56 AM PDT we experienced intermittent elevated error rates for connections to AWS IoT Core in the US-EAST-1 Region. The issue has been resolved and the service is operating normally. "
